"eventId","id","name","order"
54449,1,"Division 1",1
54450,1,"Division 1",1
54474,1,"Division 1",1
54475,1,"Division 1",1
54536,1,"Division 1",1
54576,1,"Division 1",1
54590,1,"Division 1",1
54603,1,"Division 1",1
54645,1,"Division 1",1
54651,1,"Division 1",1
54657,1,"Division 1",1
54685,1,"Division 1",1
54766,1,"Default",1
54773,1,"Division 1",1
54780,1,"Division 1",1
54791,1,"Division 1",1
54793,1,"Division 1",1
54796,1,"Division 1",1
54815,1,"Division 1",1
54865,1,"Division 1",1
54900,1,"Division 1",1
54951,1,"Division 1",1
54964,1,"Division 1",1
55040,1,"Division 1",1
55109,1,"Division 1",1
55173,1,"Division 1",1
55176,1,"Division 1",1
55333,1,"Division 1",1
52623,1,"Default",1
53525,1,"Division 1",1
55133,1,"Division 1",1
54561,1,"Elementary",1
52584,1,"Division 1",1
53858,1,"Default",1
53916,1,"Division 1",1
54299,1,"Division 1",1
54905,1,"Division 1",1
54906,1,"Division 1",1
55233,1,"Default",1
51856,1,"Division 1",1
52188,1,"Division 1",1
52264,1,"Division 1",1
52265,1,"Division 1",1
52288,1,"Division 1",1
52583,1,"Division 1",1
52600,1,"Division 1",1
52601,1,"Division 1",1
52640,1,"Division 1",1
52687,1,"Division 1",1
52688,1,"Division 1",1
52701,1,"Division 1",1
52850,1,"Division 1",1
52890,1,"Division 1",1
52952,1,"Division 1",1
52991,1,"Division 1",1
53011,1,"Division 1",1
53227,1,"Division 1",1
53233,1,"Division 1",1
53242,1,"Division 1",1
53323,1,"Division 1",1
53349,1,"Division 1",1
53388,1,"Division 1",1
53468,1,"Division 1",1
53494,1,"Division 1",1
53521,1,"Division 1",1
53530,1,"Division 1",1
53535,1,"Division 1",1
53590,1,"Division 1",1
53727,1,"Division 1",1
53741,1,"Division 1",1
53836,1,"Division 1",1
53922,1,"Division 1",1
53960,1,"Division 1",1
53961,1,"Division 1",1
53975,1,"Division 1",1
54045,1,"Division 1",1
54065,1,"Division 1",1
54078,1,"Division 1",1
54082,1,"Division 1",1
54089,1,"Division 1",1
54095,1,"Division 1",1
54143,1,"Division 1",1
54152,1,"Default Division",1
54167,1,"Division 1",1
54230,1,"Division 1",1
54241,1,"Default",1
54286,1,"Division 1",1
54297,1,"Division 1",1
54322,1,"ES Division",1
54325,1,"MS Division",1
54329,1,"Default",1
54337,1,"Division 1",1
54380,1,"Default",1
54389,1,"Division 1",1
54404,1,"Default",1
54500,1,"Default Division",1
54532,1,"Division 1",1
54579,1,"Division 1",1
54581,1,"Division 1",1
54584,1,"Default",1
54612,1,"Division 1",1
54639,1,"Division 1",1
54740,1,"Division 1",1
54753,1,"Division 1",1
54777,1,"Division 1",1
54790,1,"Division 1",1
54795,1,"Default",1
54799,1,"Division 1",1
54924,1,"Default",1
54928,1,"Division 1",1
54945,1,"Division 1",1
55029,1,"Division 1",1
55066,1,"Division 1",1
55072,1,"Division 1",1
55077,1,"2024 Open",1
55108,1,"Division 1",1
55163,1,"Division 1",1
55205,1,"Division 1",1
55253,1,"January 27 Qualifier",1
55355,1,"Division 1",1
53229,1,"Division 1",1
53781,1,"Division 1",1
53782,1,"Division 1",1
54319,1,"Division 1",1
54354,1,"Division 1",1
54419,1,"Division 1",1
54429,1,"Division 1",1
53432,1,"Division 1",1
52805,1,"Division 1",1
54257,1,"Division 1",1
53532,1,"Division 1",1
54506,1,"Division 1",1
54511,1,"Default Division",1
51619,1,"Division 1",1
51661,1,"Division 1",1
51805,1,"Division 1",1
51920,1,"Division 1",1
52172,1,"Division 1",1
52177,1,"Division 1",1
52177,2,"Division 2",2
52177,100,"finals finals",100
52191,1,"Division 1",1
52207,1,"Division 1",1
52396,1,"Division 1",1
52407,1,"Default Division",1
52674,1,"Division 1",1
52721,1,"Division 1",1
52746,1,"Division 1",1
52776,1,"Division 1",1
52796,1,"Division 1",1
52806,1,"Division 1",1
52868,1,"Division 1",1
52877,1,"Division 1",1
52901,1,"Division 1",1
53028,1,"Default Division",1
53097,1,"Default",1
53192,1,"Division 1",1
53234,1,"Division 1",1
53235,1,"Division 1",1
53266,1,"Division 1",1
53267,1,"Default",1
53334,1,"Division 1",1
