"id","type","division","rank","score","attempts","eventId","teamName","seasonId"
37038279,"programming",,23,0,0,53375,"4413U",181
37038280,"driver",,24,70,1,53375,"71030A",181
37038281,"programming",,24,0,0,53375,"71030A",181
37038282,"driver",,25,65,3,53375,"56789Z",181
37038283,"programming",,25,0,0,53375,"56789Z",181
37038284,"driver",,26,47,2,53375,"50009Y",181
37038285,"programming",,26,0,0,53375,"50009Y",181
37038286,"driver",,27,0,1,53375,"18185A",181
37038287,"programming",,27,0,0,53375,"18185A",181
37038288,"driver",,1,170,3,53376,"28666C",181
37038289,"programming",,1,164,3,53376,"28666C",181
37038290,"driver",,2,169,3,53376,"9698B",181
37038291,"programming",,2,151,3,53376,"9698B",181
37038292,"driver",,3,152,3,53376,"988Y",181
37038293,"programming",,3,136,3,53376,"988Y",181
37038294,"driver",,4,163,3,53376,"28666D",181
37038295,"programming",,4,125,3,53376,"28666D",181
37038296,"driver",,5,144,3,53376,"9698V",181
37038297,"programming",,5,128,3,53376,"9698V",181
37038298,"driver",,6,136,3,53376,"18190A",181
37038299,"programming",,6,110,3,53376,"18190A",181
37038300,"driver",,7,151,3,53376,"5864D",181
37038301,"programming",,7,86,3,53376,"5864D",181
37038302,"driver",,8,150,2,53376,"5864B",181
37038303,"programming",,8,84,1,53376,"5864B",181
37038304,"driver",,9,120,3,53376,"9698S",181
37038305,"programming",,9,113,3,53376,"9698S",181
37038306,"driver",,10,117,3,53376,"18190X",181
37038307,"programming",,10,99,2,53376,"18190X",181
37038308,"driver",,11,125,2,53376,"63936A",181
37038309,"programming",,11,80,1,53376,"63936A",181
37038310,"driver",,12,129,2,53376,"9416U",181
37038311,"programming",,12,75,1,53376,"9416U",181
37038312,"driver",,13,123,1,53376,"71030H",181
37038313,"programming",,13,74,1,53376,"71030H",181
37038314,"driver",,14,96,1,53376,"78857C",181
37038315,"programming",,14,92,2,53376,"78857C",181
37038316,"driver",,15,109,1,53376,"78857A",181
37038317,"programming",,15,78,1,53376,"78857A",181
37038318,"driver",,16,78,3,53376,"19320X",181
37038319,"programming",,16,93,1,53376,"19320X",181
37038320,"driver",,17,95,1,53376,"63936B",181
37038321,"programming",,17,73,1,53376,"63936B",181
37038322,"driver",,18,128,1,53376,"71113X",181
37038323,"programming",,18,29,2,53376,"71113X",181
37038324,"driver",,19,137,2,53376,"5864C",181
37038325,"programming",,19,6,1,53376,"5864C",181
37038326,"driver",,20,60,3,53376,"63936C",181
37038327,"programming",,20,76,2,53376,"63936C",181
37038328,"driver",,21,66,1,53376,"71345K",181
37038329,"programming",,21,69,1,53376,"71345K",181
37038330,"driver",,22,96,2,53376,"28666A",181
37038331,"programming",,22,0,0,53376,"28666A",181
37038332,"driver",,23,83,1,53376,"96666B",181
37038333,"programming",,23,0,0,53376,"96666B",181
37038334,"driver",,24,71,1,53376,"5868G",181
37038335,"programming",,24,8,1,53376,"5868G",181
37038336,"driver",,25,75,1,53376,"19320Z",181
37038337,"programming",,25,0,0,53376,"19320Z",181
37038338,"driver",,26,70,1,53376,"92972A",181
37038339,"programming",,26,0,0,53376,"92972A",181
37038340,"driver",,27,65,2,53376,"18190D",181
37038341,"programming",,27,0,0,53376,"18190D",181
37038342,"driver",,28,55,1,53376,"70030B",181
37038343,"programming",,28,0,0,53376,"70030B",181
37038344,"driver",,29,34,1,53376,"18190B",181
37038345,"programming",,29,0,0,53376,"18190B",181
37015180,"driver",,1,141,2,53282,"96626A",181
37015181,"programming",,1,97,1,53282,"96626A",181
37015182,"driver",,2,134,3,53282,"55295A",181
37015183,"programming",,2,96,3,53282,"55295A",181
37015184,"driver",,3,129,3,53282,"58859A",181
37015185,"programming",,3,98,3,53282,"58859A",181
37015186,"driver",,4,97,3,53282,"860A",181
37015187,"programming",,4,90,2,53282,"860A",181
37015188,"driver",,5,99,2,53282,"17996B",181
37015189,"programming",,5,72,2,53282,"17996B",181
37015190,"driver",,6,78,3,53282,"17996Z",181
37015191,"programming",,6,65,1,53282,"17996Z",181
37015192,"driver",,7,90,3,53282,"84125A",181
37015193,"programming",,7,0,0,53282,"84125A",181
37015194,"driver",,8,82,1,53282,"19896A",181
37015195,"programming",,8,0,0,53282,"19896A",181
37015196,"driver",,9,49,1,53282,"19896Y",181
37015197,"programming",,9,12,2,53282,"19896Y",181
37015198,"driver",,10,54,2,53282,"12681S",181
37015199,"programming",,10,0,0,53282,"12681S",181
40152006,"driver",,1,175,3,53603,"9123A",181
40152007,"programming",,1,131,1,53603,"9123A",181
40152008,"driver",,2,162,2,53603,"8193B",181
40152009,"programming",,2,123,2,53603,"8193B",181
40152010,"driver",,3,149,3,53603,"8192A",181
40152011,"programming",,3,129,3,53603,"8192A",181
40152012,"driver",,4,139,2,53603,"88825A",181
40152013,"programming",,4,118,3,53603,"88825A",181
40152014,"driver",,5,150,3,53603,"8193A",181
40152015,"programming",,5,106,3,53603,"8193A",181
40152016,"driver",,6,130,2,53603,"8193C",181
40152017,"programming",,6,123,1,53603,"8193C",181
40152018,"driver",,7,130,1,53603,"8192C",181
40152019,"programming",,7,89,2,53603,"8192C",181
40152020,"driver",,8,121,2,53603,"3219A",181
40152021,"programming",,8,97,2,53603,"3219A",181
40152022,"driver",,9,104,1,53603,"9123Y",181
40152023,"programming",,9,44,1,53603,"9123Y",181
40152024,"driver",,10,128,2,53603,"8192B",181
40152025,"programming",,10,0,0,53603,"8192B",181
40152026,"driver",,11,84,2,53603,"3793C",181
40152027,"programming",,11,24,1,53603,"3793C",181
40152028,"driver",,12,108,3,53603,"9123G",181
40152029,"programming",,12,0,0,53603,"9123G",181
40152030,"driver",,13,96,1,53603,"8193D",181
40152031,"programming",,13,0,0,53603,"8193D",181
40152032,"driver",,14,95,2,53603,"98060A",181
40152033,"programming",,14,0,0,53603,"98060A",181
40152034,"driver",,15,95,1,53603,"88825D",181
40152035,"programming",,15,0,0,53603,"88825D",181
40152036,"driver",,16,84,1,53603,"9123K",181
40152037,"programming",,16,0,0,53603,"9123K",181
40152038,"driver",,17,0,0,53603,"3793B",181
40152039,"programming",,17,73,1,53603,"3793B",181
40152040,"driver",,18,69,1,53603,"91233S",181
40152041,"programming",,18,0,0,53603,"91233S",181
40152042,"driver",,19,67,1,53603,"3219D",181
40152043,"programming",,19,0,0,53603,"3219D",181
40152044,"driver",,20,65,1,53603,"1796B",181
40152045,"programming",,20,0,0,53603,"1796B",181
40152046,"driver",,1,178,2,53604,"9123W",181
40152047,"programming",,1,145,3,53604,"9123W",181
40152048,"driver",,2,178,3,53604,"81988D",181
40152049,"programming",,2,135,3,53604,"81988D",181
40152050,"driver",,3,170,3,53604,"9123C",181
40152051,"programming",,3,116,3,53604,"9123C",181
40152052,"driver",,4,142,1,53604,"9123X",181
40152053,"programming",,4,128,1,53604,"9123X",181
40152054,"driver",,5,126,1,53604,"546A",181
40152055,"programming",,5,129,2,53604,"546A",181
40152056,"driver",,6,131,3,53604,"81988E",181
40152057,"programming",,6,112,2,53604,"81988E",181
40152058,"driver",,7,123,1,53604,"9123D",181
40152059,"programming",,7,0,0,53604,"9123D",181
40152060,"driver",,8,103,2,53604,"98060C",181
40152061,"programming",,8,16,1,53604,"98060C",181
40152062,"driver",,9,95,2,53604,"51121E",181
40152063,"programming",,9,0,0,53604,"51121E",181
40152064,"driver",,10,80,2,53604,"69999Y",181
40152065,"programming",,10,0,0,53604,"69999Y",181
40152066,"driver",,11,80,1,53604,"69999X",181
40152067,"programming",,11,0,0,53604,"69999X",181
40152068,"driver",,12,61,1,53604,"7925S",181
40152069,"programming",,12,0,0,53604,"7925S",181
40152070,"driver",,13,59,1,53604,"1038A",181
40152071,"programming",,13,0,0,53604,"1038A",181
40152072,"driver",,14,52,3,53604,"25353A",181
40152073,"programming",,14,0,0,53604,"25353A",181
40152074,"driver",,15,0,0,53604,"7925B",181
40152075,"programming",,15,0,1,53604,"7925B",181
37403774,"driver",,1,180,2,53547,"18555B",181
37403775,"programming",,1,179,1,53547,"18555B",181
37403776,"driver",,2,176,3,53547,"8223A",181
37403777,"programming",,2,177,2,53547,"8223A",181
37403778,"driver",,3,184,3,53547,"1825A",181
37403779,"programming",,3,130,3,53547,"1825A",181
37403780,"driver",,4,178,1,53547,"18501A",181
37403781,"programming",,4,127,1,53547,"18501A",181
37403782,"driver",,5,167,1,53547,"18522S",181
37403783,"programming",,5,110,2,53547,"18522S",181
37403784,"driver",,6,139,2,53547,"77761F",181
37403785,"programming",,6,129,1,53547,"77761F",181
37403786,"driver",,7,149,2,53547,"7258B",181
37403787,"programming",,7,99,2,53547,"7258B",181
37403788,"driver",,8,125,1,53547,"18522D",181
37403789,"programming",,8,85,1,53547,"18522D",181
37403790,"driver",,9,112,3,53547,"57000X",181
37403791,"programming",,9,92,1,53547,"57000X",181
37403792,"driver",,10,110,2,53547,"7258Y",181
37403793,"programming",,10,90,2,53547,"7258Y",181
37403794,"driver",,11,97,2,53547,"18526Z",181
37403795,"programming",,11,97,2,53547,"18526Z",181
37403796,"driver",,12,83,3,53547,"55777B",181
37403797,"programming",,12,97,3,53547,"55777B",181
37403798,"driver",,13,86,1,53547,"57000Z",181
37403799,"programming",,13,52,1,53547,"57000Z",181
