"id","type","division","rank","score","attempts","eventId","teamName","seasonId"
36965470,"driver",,23,42,1,52044,"75161A",180
36965471,"programming",,23,0,0,52044,"75161A",180
36965472,"driver",,24,38,1,52044,"75161B",180
36965473,"programming",,24,0,0,52044,"75161B",180
36965474,"driver",,25,36,1,52044,"88188B",180
36965475,"programming",,25,0,0,52044,"88188B",180
36965476,"driver",,26,35,2,52044,"9566A",180
36965477,"programming",,26,0,0,52044,"9566A",180
36965478,"driver",,27,32,1,52044,"16168B",180
36965479,"programming",,27,0,0,52044,"16168B",180
36965480,"driver",,28,22,1,52044,"49186D",180
36965481,"programming",,28,0,0,52044,"49186D",180
36959432,"driver",,1,85,3,52212,"58988N",180
36959433,"programming",,1,86,2,52212,"58988N",180
36959434,"driver",,2,74,3,52212,"58988M",180
36959435,"programming",,2,79,3,52212,"58988M",180
36959436,"driver",,3,77,3,52212,"906C",180
36959437,"programming",,3,74,3,52212,"906C",180
36959438,"driver",,4,71,3,52212,"1266Y",180
36959439,"programming",,4,69,4,52212,"1266Y",180
36959440,"driver",,5,76,3,52212,"1268A",180
36959441,"programming",,5,51,3,52212,"1268A",180
36959442,"driver",,6,81,3,52212,"906B",180
36959443,"programming",,6,34,3,52212,"906B",180
36959444,"driver",,7,77,3,52212,"691A",180
36959445,"programming",,7,34,3,52212,"691A",180
36959446,"driver",,8,73,2,52212,"32680C",180
36959447,"programming",,8,27,2,52212,"32680C",180
36959448,"driver",,9,73,2,52212,"906A",180
36959449,"programming",,9,14,2,52212,"906A",180
36959450,"driver",,10,39,3,52212,"1268B",180
36959451,"programming",,10,45,3,52212,"1268B",180
36959452,"driver",,11,84,1,52212,"28113C",180
36959453,"programming",,11,0,0,52212,"28113C",180
36959454,"driver",,12,82,3,52212,"72366A",180
36959455,"programming",,12,0,0,52212,"72366A",180
36959456,"driver",,13,82,2,52212,"28777K",180
36959457,"programming",,13,0,0,52212,"28777K",180
36959458,"driver",,14,59,3,52212,"17520C",180
36959459,"programming",,14,20,3,52212,"17520C",180
36959460,"driver",,15,79,3,52212,"28111N",180
36959461,"programming",,15,0,0,52212,"28111N",180
36959462,"driver",,16,77,1,52212,"72388A",180
36959463,"programming",,16,0,0,52212,"72388A",180
36959464,"driver",,17,69,3,52212,"3668A",180
36959465,"programming",,17,5,2,52212,"3668A",180
36959466,"driver",,18,74,2,52212,"48500A",180
36959467,"programming",,18,0,0,52212,"48500A",180
36959468,"driver",,19,74,1,52212,"28111Z",180
36959469,"programming",,19,0,0,52212,"28111Z",180
36959470,"driver",,20,60,1,52212,"72399A",180
36959471,"programming",,20,10,2,52212,"72399A",180
36959472,"driver",,21,69,1,52212,"9912A",180
36959473,"programming",,21,0,1,52212,"9912A",180
36959474,"driver",,22,69,3,52212,"72388D",180
36959475,"programming",,22,0,0,52212,"72388D",180
36959476,"driver",,23,62,2,52212,"48500B",180
36959477,"programming",,23,0,0,52212,"48500B",180
36959478,"driver",,24,51,2,52212,"502A",180
36959479,"programming",,24,0,0,52212,"502A",180
36959480,"driver",,25,48,3,52212,"70216A",180
36959481,"programming",,25,0,0,52212,"70216A",180
36959482,"driver",,26,26,1,52212,"17520A",180
36959483,"programming",,26,20,1,52212,"17520A",180
36959484,"driver",,27,44,1,52212,"80088U",180
36959485,"programming",,27,0,0,52212,"80088U",180
36959486,"driver",,28,43,1,52212,"72355G",180
36959487,"programming",,28,0,1,52212,"72355G",180
36959488,"driver",,29,42,1,52212,"48500C",180
36959489,"programming",,29,0,0,52212,"48500C",180
36959490,"driver",,30,39,3,52212,"71030H",180
36959491,"programming",,30,0,1,52212,"71030H",180
36959492,"driver",,31,39,1,52212,"9912C",180
36959493,"programming",,31,0,1,52212,"9912C",180
36959494,"driver",,32,37,1,52212,"636C",180
36959495,"programming",,32,0,1,52212,"636C",180
36959496,"driver",,33,34,1,52212,"691B",180
36959497,"programming",,33,0,1,52212,"691B",180
36959498,"driver",,34,33,2,52212,"71030F",180
36959499,"programming",,34,0,0,52212,"71030F",180
36959500,"driver",,35,28,2,52212,"502C",180
36959501,"programming",,35,0,1,52212,"502C",180
36959502,"driver",,36,25,1,52212,"71030G",180
36959503,"programming",,36,0,0,52212,"71030G",180
36959504,"driver",,37,20,1,52212,"80088S",180
36959505,"programming",,37,0,0,52212,"80088S",180
36959506,"driver",,38,19,1,52212,"502D",180
36959507,"programming",,38,0,1,52212,"502D",180
36959508,"driver",,39,16,1,52212,"502E",180
36959509,"programming",,39,0,0,52212,"502E",180
36959552,"driver",,1,90,3,52235,"58988K",180
36959553,"programming",,1,84,3,52235,"58988K",180
36959554,"driver",,2,87,3,52235,"58988J",180
36959555,"programming",,2,80,3,52235,"58988J",180
36959556,"driver",,3,81,3,52235,"58988G",180
36959557,"programming",,3,79,3,52235,"58988G",180
36959558,"driver",,4,84,3,52235,"32680A",180
36959559,"programming",,4,69,3,52235,"32680A",180
36959560,"driver",,5,75,3,52235,"86867A",180
36959561,"programming",,5,74,1,52235,"86867A",180
36959562,"driver",,6,85,2,52235,"50009E",180
36959563,"programming",,6,23,3,52235,"50009E",180
36959564,"driver",,7,72,1,52235,"693E",180
36959565,"programming",,7,35,3,52235,"693E",180
36959566,"driver",,8,77,3,52235,"17520D",180
36959567,"programming",,8,20,3,52235,"17520D",180
36959568,"driver",,9,75,3,52235,"68414B",180
36959569,"programming",,9,15,3,52235,"68414B",180
36959570,"driver",,10,69,1,52235,"55868B",180
36959571,"programming",,10,20,1,52235,"55868B",180
36959572,"driver",,11,85,3,52235,"28111U",180
36959573,"programming",,11,0,0,52235,"28111U",180
36959574,"driver",,12,84,2,52235,"82366G",180
36959575,"programming",,12,0,0,52235,"82366G",180
36959576,"driver",,13,80,3,52235,"9912F",180
36959577,"programming",,13,0,0,52235,"9912F",180
36959578,"driver",,14,77,1,52235,"82355P",180
36959579,"programming",,14,0,0,52235,"82355P",180
36959580,"driver",,15,65,3,52235,"68414A",180
36959581,"programming",,15,10,2,52235,"68414A",180
36959582,"driver",,16,73,3,52235,"16008A",180
36959583,"programming",,16,0,0,52235,"16008A",180
36959584,"driver",,17,57,2,52235,"18186A",180
36959585,"programming",,17,5,2,52235,"18186A",180
36959586,"driver",,18,49,2,52235,"70136A",180
36959587,"programming",,18,0,0,52235,"70136A",180
36959588,"driver",,19,49,2,52235,"9912E",180
36959589,"programming",,19,0,0,52235,"9912E",180
36959590,"driver",,20,47,3,52235,"9912D",180
36959591,"programming",,20,0,0,52235,"9912D",180
36959592,"driver",,21,43,1,52235,"9086A",180
36959593,"programming",,21,0,0,52235,"9086A",180
36965092,"driver",,1,83,2,52048,"9666A",180
36965093,"programming",,1,82,3,52048,"9666A",180
36965094,"driver",,2,88,3,52048,"9666B",180
36965095,"programming",,2,72,3,52048,"9666B",180
36965096,"driver",,3,86,3,52048,"671D",180
36965097,"programming",,3,69,3,52048,"671D",180
36965098,"driver",,4,74,3,52048,"31100D",180
36965099,"programming",,4,67,3,52048,"31100D",180
36965100,"driver",,5,76,3,52048,"7627A",180
36965101,"programming",,5,62,3,52048,"7627A",180
36965102,"driver",,6,90,3,52048,"71888B",180
36965103,"programming",,6,39,3,52048,"71888B",180
36965104,"driver",,7,78,3,52048,"88896A",180
36965105,"programming",,7,38,3,52048,"88896A",180
36965106,"driver",,8,79,3,52048,"671C",180
36965107,"programming",,8,29,3,52048,"671C",180
36965108,"driver",,9,72,2,52048,"2112A",180
36965109,"programming",,9,33,2,52048,"2112A",180
36965110,"driver",,10,82,2,52048,"9666C",180
36965111,"programming",,10,21,2,52048,"9666C",180
36965112,"driver",,11,73,1,52048,"7627B",180
36965113,"programming",,11,15,1,52048,"7627B",180
36965114,"driver",,12,63,3,52048,"66186A",180
36965115,"programming",,12,24,3,52048,"66186A",180
36965116,"driver",,13,82,3,52048,"6916A",180
36965117,"programming",,13,0,0,52048,"6916A",180
36965118,"driver",,14,80,3,52048,"3322B",180
36965119,"programming",,14,0,0,52048,"3322B",180
36965120,"driver",,15,77,3,52048,"8009A",180
36965121,"programming",,15,0,0,52048,"8009A",180
36965122,"driver",,16,74,2,52048,"18533B",180
36965123,"programming",,16,0,0,52048,"18533B",180
36965124,"driver",,17,74,2,52048,"51808B",180
36965125,"programming",,17,0,0,52048,"51808B",180
36965126,"driver",,18,73,3,52048,"66196B",180
36965127,"programming",,18,0,0,52048,"66196B",180
36965128,"driver",,19,48,1,52048,"87868B",180
36965129,"programming",,19,24,1,52048,"87868B",180
36965130,"driver",,20,72,2,52048,"8009B",180
36965131,"programming",,20,0,0,52048,"8009B",180
36965132,"driver",,21,72,3,52048,"2148M",180
36965133,"programming",,21,0,0,52048,"2148M",180
36965134,"driver",,22,70,3,52048,"18500B",180
36965135,"programming",,22,0,0,52048,"18500B",180
36965136,"driver",,23,49,3,52048,"18511A",180
36965137,"programming",,23,17,3,52048,"18511A",180
36965138,"driver",,24,66,3,52048,"6916B",180
36965139,"programming",,24,0,0,52048,"6916B",180
36965140,"driver",,25,64,3,52048,"527C",180
36965141,"programming",,25,0,0,52048,"527C",180
36965142,"driver",,26,46,1,52048,"87868A",180
36965143,"programming",,26,16,1,52048,"87868A",180
36965144,"driver",,27,61,1,52048,"51808A",180
36965145,"programming",,27,0,0,52048,"51808A",180
